topic,weighted_dispersion,perm_p_value,fdr_q_value,significant,topic_label,super_topic
topic_0,0.03569878850718317,0.0001999600079984003,0.0001999600079984003,True,Sports Script Writing,Creative Writing & Roleplay
topic_1,0.021563985021643188,0.0001999600079984003,0.0001999600079984003,True,DDLC Fan Fiction,Creative Writing & Roleplay
topic_7,0.01599859134049984,0.0001999600079984003,0.0001999600079984003,True,Fetish Comedy Stories,Creative Writing & Roleplay
topic_2,0.014886430236398735,0.0001999600079984003,0.0001999600079984003,True,Translation & Word Meanings,Information/Trivia & Explanatory QA
topic_9,0.009700001748104942,0.0001999600079984003,0.0001999600079984003,True,Scam-Baiting Emails,"Finance, Law, and Practical Life"
topic_11,0.0071437481564520944,0.0001999600079984003,0.0001999600079984003,True,Fan Crossover Shipping,Creative Writing & Roleplay
topic_5,0.005743837032860216,0.0001999600079984003,0.0001999600079984003,True,Monster-Girl Roleplay,Creative Writing & Roleplay
topic_3,0.005035601490600508,0.0001999600079984003,0.0001999600079984003,True,Political History Questions,"Politics, Religion, and Society"
topic_4,0.0041126680018526585,0.0001999600079984003,0.0001999600079984003,True,AI Art Prompting,"Media, Art, and Entertainment"
topic_18,0.004107246540400086,0.0001999600079984003,0.0001999600079984003,True,Versus Battle Scenarios,"Media, Art, and Entertainment"
topic_20,0.002068952700415814,0.0001999600079984003,0.0001999600079984003,True,AI Concept Questions,Information/Trivia & Explanatory QA
topic_13,0.0017045402203751691,0.0001999600079984003,0.0001999600079984003,True,Social Media Copy,Career & Professional Writing
topic_6,0.0014930581683848968,0.0001999600079984003,0.0001999600079984003,True,Math Problem Solving,Education & Homework
topic_10,0.00118644339225274,0.0001999600079984003,0.0001999600079984003,True,Adult Fantasy Fiction,Creative Writing & Roleplay
topic_29,0.0010040905515151463,0.0001999600079984003,0.0001999600079984003,True,Rivalry Fight Fiction,Creative Writing & Roleplay
topic_46,0.0009164749024629906,0.0001999600079984003,0.0001999600079984003,True,Brand Name Ideation,Career & Professional Writing
topic_8,0.000849315872329075,0.0001999600079984003,0.0001999600079984003,True,Career Resume Help,Career & Professional Writing
topic_17,0.0008062970158389199,0.0001999600079984003,0.0001999600079984003,True,Religion & Theology,"Politics, Religion, and Society"
topic_15,0.0006274954678062238,0.0001999600079984003,0.0001999600079984003,True,Music Theory Help,Education & Homework
topic_59,0.0005782887514009611,0.0001999600079984003,0.0001999600079984003,True,Character Fusion Descriptions,"Media, Art, and Entertainment"
topic_12,0.0005766813012702569,0.0001999600079984003,0.0001999600079984003,True,Chemistry Homework Help,Education & Homework
topic_22,0.0005632610221870734,0.0001999600079984003,0.0001999600079984003,True,Web Development Help,Coding & Technical Help
topic_16,0.0005576695353238333,0.0001999600079984003,0.0001999600079984003,True,Programming Help,Coding & Technical Help
topic_44,0.0005415831945931994,0.0001999600079984003,0.0001999600079984003,True,Cartoon Crossover Concepts,"Media, Art, and Entertainment"
topic_26,0.0004819490676456992,0.0001999600079984003,0.0001999600079984003,True,Product Listing Copy,Career & Professional Writing
topic_24,0.00046292672224473527,0.0001999600079984003,0.0001999600079984003,True,Python Troubleshooting,Coding & Technical Help
